		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 48.812500	M = 25000	N = 8	m = 9	n = 200000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   43   51   49   46   36   53   42   52  6.032622 0.643578 SUCCESS   0
000000011   46   52   56   45   45   45   44   42  3.874568 0.868259 SUCCESS   1
000000101   50   49   60   40   52   54   46   49  5.280613 0.727206 SUCCESS   2
000000111   40   39   59   53   40   50   46   47  8.166845 0.417344 SUCCESS   3
000001001   35   52   46   52   41   34   48   46 10.761806 0.215564 SUCCESS   4
000001011   43   46   51   45   48   60   49   42  4.941679 0.763791 SUCCESS   5
000001101   45   63   50   58   56   52   48   52  7.928532 0.440482 SUCCESS   6
000001111   41   45   50   50   47   52   51   46  2.214322 0.973726 SUCCESS   7
000010001   56   54   43   39   47   49   52   54  5.275317 0.727785 SUCCESS   8
000010011   43   52   51   47   43   41   40   55  5.566588 0.695652 SUCCESS   9
000010101   54   55   44   44   53   46   49   41  4.194966 0.839118 SUCCESS  10
000010111   47   40   46   48   55   52   48   45  3.244363 0.918100 SUCCESS  11
000011001   51   36   48   43   37   45   58   46  9.527875 0.299737 SUCCESS  12
000011011   55   52   49   41   51   60   52   45  5.595715 0.692414 SUCCESS  13
000011101   54   43   38   50   48   44   45   51  4.706014 0.788486 SUCCESS  14
000011111   39   53   50   51   43   48   51   44  3.863976 0.869183 SUCCESS  15
000100011   48   54   37   45   42   43   45   51  5.955832 0.652179 SUCCESS  16
000100101   50   47   48   61   50   45   66   38 12.332022 0.136993 SUCCESS  17
000100111   53   59   52   50   48   41   31   54 11.413194 0.179368 SUCCESS  18
000101001   49   52   40   54   48   54   42   43  4.713958 0.787665 SUCCESS  19
000101011   42   54   50   40   46   49   48   47  3.480028 0.900734 SUCCESS  20
000101101   43   52   49   46   49   62   49   49  4.785452 0.780242 SUCCESS  21
000101111   44   52   47   54   49   43   49   51  2.164012 0.975566 SUCCESS  22
000110011   51   36   56   48   50   53   45   45  5.704280 0.680318 SUCCESS  23
000110101   54   47   48   63   60   52   43   52  8.714964 0.366909 SUCCESS  24
000110111   57   54   52   56   50   55   48   48  4.168487 0.841611 SUCCESS  25
000111001   38   43   62   43   49   54   44   49  8.654062 0.372314 SUCCESS  26
000111011   55   45   40   46   61   49   46   59  8.444876 0.391262 SUCCESS  27
000111101   33   53   58   46   47   49   47   44  8.254226 0.409039 SUCCESS  28
000111111   52   45   51   51   45   44   45   33  7.128860 0.522796 SUCCESS  29
001000011   47   41   53   53   47   58   46   55  4.941679 0.763791 SUCCESS  30
001000101   42   43   41   54   56   54   56   37  9.276323 0.319525 SUCCESS  31
001000111   44   56   46   38   47   48   37   40  8.913558 0.349641 SUCCESS  32
001001011   54   49   51   58   50   58   60   36 10.406984 0.237614 SUCCESS  33
001001101   46   44   31   45   50   36   52   59 13.608319 0.092563 SUCCESS  34
